,support,itemsets
0,0.19181802749957563,frozenset({'P00000142'})
1,0.06297742318791377,frozenset({'P00000242'})
2,0.04040061110168053,frozenset({'P00000342'})
3,0.08691223900865727,frozenset({'P00000642'})
4,0.04040061110168053,frozenset({'P00000742'})
5,0.08385673060600916,frozenset({'P00001042'})
6,0.09709726701748429,frozenset({'P00001142'})
7,0.059242912918010524,frozenset({'P00001642'})
8,0.0762179595993889,frozenset({'P00001742'})
9,0.0354778475640808,frozenset({'P00001942'})
10,0.12357833984043456,frozenset({'P00002142'})
11,0.03310134102868783,frozenset({'P00002242'})
12,0.05516890171447972,frozenset({'P00002442'})
13,0.09030724834493295,frozenset({'P00002542'})
14,0.03717535223221864,frozenset({'P00002942'})
15,0.1408928874554405,frozenset({'P00003242'})
16,0.16143269393990833,frozenset({'P00003442'})
17,0.08538448480733322,frozenset({'P00003642'})
18,0.12391784077406214,frozenset({'P00003942'})
19,0.04668137837379053,frozenset({'P00004542'})
20,0.10032252588694619,frozenset({'P00004742'})
21,0.03513834663045323,frozenset({'P00004842'})
22,0.16211169580716348,frozenset({'P00005042'})
23,0.038024104566287555,frozenset({'P00005142'})
24,0.045662875572907824,frozenset({'P00005742'})
25,0.030555084026481074,frozenset({'P00005942'})
26,0.049397385842811066,frozenset({'P00006142'})
27,0.03174333729417756,frozenset({'P00006842'})
28,0.08402648107282296,frozenset({'P00006942'})
29,0.059242912918010524,frozenset({'P00009342'})
30,0.05907316245119674,frozenset({'P00010242'})
31,0.034119843829570534,frozenset({'P00010342'})
32,0.22593787132914617,frozenset({'P00010742'})
33,0.11237480903072483,frozenset({'P00010842'})
34,0.051434391444576476,frozenset({'P00010942'})
35,0.031064335426922423,frozenset({'P00012142'})
36,0.05941266338482431,frozenset({'P00013742'})
37,0.03955185876761161,frozenset({'P00013942'})
38,0.03276184009506026,frozenset({'P00014042'})
39,0.11288406043116618,frozenset({'P00014542'})
40,0.05313189611271431,frozenset({'P00014642'})
41,0.06908843999320999,frozenset({'P00014842'})
42,0.049397385842811066,frozenset({'P00015542'})
43,0.06959769139365134,frozenset({'P00015642'})
44,0.04023086063486674,frozenset({'P00015742'})
45,0.04498387370565269,frozenset({'P00015842'})
46,0.0344593447631981,frozenset({'P00015942'})
47,0.07502970633169241,frozenset({'P00016042'})
48,0.03225258869461891,frozenset({'P00016342'})
49,0.043965370904769985,frozenset({'P00016742'})
50,0.052452894245459174,frozenset({'P00016842'})
51,0.04107961296893566,frozenset({'P00017542'})
52,0.050246138176879986,frozenset({'P00018042'})
53,0.05262264471227296,frozenset({'P00019142'})
54,0.05550840264810728,frozenset({'P00019342'})
55,0.05941266338482431,frozenset({'P00020342'})
56,0.03123408589373621,frozenset({'P00021142'})
57,0.1293498557121032,frozenset({'P00021742'})
58,0.033780342895942964,frozenset({'P00021842'})
59,0.031064335426922423,frozenset({'P00022442'})
60,0.06195892038703107,frozenset({'P00022542'})
61,0.030555084026481074,frozenset({'P00022642'})
62,0.08759124087591241,frozenset({'P00022942'})
63,0.030555084026481074,frozenset({'P00023042'})
64,0.06569343065693431,frozenset({'P00024042'})
65,0.043965370904769985,frozenset({'P00024142'})
66,0.031913087760991346,frozenset({'P00024642'})
67,0.06925819046002377,frozenset({'P00024742'})
68,0.269224240366661,frozenset({'P00025442'})
69,0.07282295026311322,frozenset({'P00025942'})
70,0.06348667458835512,frozenset({'P00026042'})
71,0.03496859616363945,frozenset({'P00026642'})
72,0.06297742318791377,frozenset({'P00028042'})
73,0.06976744186046512,frozenset({'P00028442'})
74,0.08283822780512647,frozenset({'P00028542'})
