freq_itemset,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
['1'],M,46-50,7,B,2,1
"['1', '5', '6', '8']",M,26-35,4,B,3,1
"['1', '5', '8']",M,26-35,0,B,1,0
"['1', '5', '8']",M,36-45,7,C,3,1
"['1', '5', '8']",M,26-35,17,B,1,1
"['1', '5', '6', '8']",F,18-25,3,A,1,0
"['1', '5', '6', '8']",M,46-50,7,B,2,1
"['1', '3', '5']",M,18-25,9,B,1,0
"['1', '3', '5', '8']",M,26-35,1,B,2,1
"['1', '2', '5']",M,46-50,0,C,0,0
"['1', '5', '8']",M,26-35,12,B,4+,1
"['1', '5', '8']",F,36-45,2,A,1,0
"['1', '2', '5', '8']",M,36-45,17,C,1,1
"['1', '5', '8']",F,26-35,0,B,2,1
['1'],M,26-35,1,A,1,0
"['1', '5', '8']",M,18-25,19,A,1,0
"['1', '3', '5']",F,26-35,1,C,1,0
"['1', '5']",F,18-25,12,C,1,0
"['1', '2', '5']",M,46-50,16,C,4+,0
"['1', '5', '6', '8']",M,18-25,4,C,3,1
"['1', '6', '8']",M,36-45,2,A,0,1
"['1', '5', '8']",M,26-35,0,C,1,0
"['1', '5', '6', '8']",F,18-25,4,C,2,0
"['1', '3', '5', '8']",M,26-35,6,C,0,0
"['1', '5', '6', '8']",M,18-25,4,A,2,0
"['1', '5', '8']",M,18-25,0,C,1,0
"['1', '3', '5', '8']",F,0-17,10,B,1,0
"['1', '5']",M,36-45,14,A,1,0
"['1', '5', '8']",F,26-35,1,A,1,0
['5'],M,26-35,2,C,2,0
"['1', '2', '5', '8']",M,26-35,0,C,4+,0
"['1', '5', '6', '8']",M,46-50,8,B,1,1
"['1', '5', '6']",M,0-17,10,C,1,0
"['5', '8']",M,51-55,14,C,1,1
"['1', '5', '6', '8']",M,36-45,18,C,2,1
"['1', '3', '5', '8']",M,51-55,2,B,1,1
"['1', '2', '5', '8']",M,26-35,12,C,3,0
"['1', '2', '5']",M,36-45,7,B,3,0
"['1', '5', '8']",M,26-35,11,C,0,0
"['1', '5', '6', '8']",M,18-25,4,B,2,1
"['1', '3', '5', '8']",M,18-25,19,C,4+,0
"['1', '5', '6', '8']",F,51-55,7,C,1,0
"['1', '5', '6', '8']",M,36-45,7,A,1,0
"['1', '5', '6', '8']",M,46-50,2,C,4+,1
"['1', '2', '5', '8']",M,36-45,7,A,3,0
"['1', '5', '8']",M,26-35,5,C,3,1
"['1', '5', '8']",F,18-25,2,A,2,1
"['1', '5']",M,18-25,0,C,0,0
"['1', '5']",F,26-35,0,B,3,0
"['1', '2', '5']",M,0-17,10,C,4+,0
"['1', '5', '6', '8']",F,46-50,1,C,1,0
"['2', '5']",M,51-55,17,C,1,1
"['1', '5', '8']",M,51-55,17,B,4+,1
"['1', '5', '8']",F,26-35,11,C,3,1
"['1', '5', '8']",F,26-35,16,C,2,1
"['2', '5', '8']",M,26-35,4,C,0,0
"['1', '5', '8']",F,26-35,9,A,3,1
"['1', '5', '8']",M,36-45,7,C,1,0
"['5', '8']",F,26-35,3,C,1,1
"['1', '5', '8']",M,26-35,1,A,2,0
"['1', '5', '6', '8']",M,26-35,1,C,2,0
"['1', '8']",M,46-50,7,C,2,0
"['1', '6', '8']",M,46-50,0,C,2,0
"['1', '2', '5', '8']",M,46-50,7,C,1,0
"['1', '3', '8']",F,36-45,0,A,3,0
"['1', '5', '6', '8']",M,36-45,0,C,4+,0
"['1', '2', '5', '8']",F,46-50,2,A,0,0
"['1', '2', '5', '8']",F,46-50,7,C,3,1
"['1', '5', '6', '8']",M,18-25,4,B,2,1
"['1', '5', '6', '8']",M,36-45,1,C,2,1
['1'],M,0-17,14,B,1,0
"['1', '5']",M,26-35,20,A,1,0
"['1', '3', '5', '8']",M,26-35,12,B,1,0
"['1', '2', '5', '8']",M,36-45,1,C,0,0
"['1', '3', '5', '8']",M,36-45,1,C,3,0
"['1', '5', '8']",M,51-55,0,C,4+,1
"['1', '5']",F,18-25,9,B,1,1
"['1', '2', '5']",M,18-25,4,B,4+,0
"['1', '5', '8']",M,18-25,4,A,1,0
"['1', '5', '6', '8']",F,18-25,4,C,4+,0
"['1', '5', '8']",M,26-35,16,C,2,1
"['1', '5', '6', '8']",M,36-45,16,B,2,1
"['1', '5', '8']",M,18-25,20,B,1,1
"['1', '5', '6', '8']",M,26-35,4,B,4+,0
"['5', '6', '8']",M,46-50,16,C,1,1
"['1', '5', '8']",M,26-35,20,C,0,0
"['1', '3', '5', '8']",M,18-25,4,B,2,0
"['1', '3', '5', '8']",M,51-55,14,C,1,1
"['1', '5', '6', '8']",M,46-50,20,B,1,1
"['1', '5', '8']",M,36-45,5,B,1,1
"['1', '3', '5', '8']",M,0-17,10,B,3,0
"['1', '5', '6', '8']",M,26-35,0,C,1,0
"['1', '8']",M,51-55,16,C,1,1
"['1', '5', '6', '8']",M,51-55,14,C,4+,1
"['1', '5']",M,0-17,10,C,1,0
"['1', '5', '8']",M,26-35,12,C,1,1
"['1', '5', '6', '8']",M,0-17,19,B,1,0
"['1', '3', '5']",M,18-25,4,C,2,0
"['5', '8']",F,46-50,1,B,2,1
"['1', '5', '6', '8']",M,26-35,5,B,1,1
"['1', '3', '5']",M,0-17,10,C,2,0
"['1', '2', '5', '8']",M,46-50,17,C,4+,1
"['1', '3', '5', '8']",M,26-35,2,A,2,1
"['1', '3', '5']",M,51-55,1,A,0,0
"['1', '2', '8']",F,26-35,1,C,2,0
"['1', '2', '5', '8']",F,51-55,3,C,1,1
"['1', '2', '5', '8']",M,55+,14,A,1,1
"['1', '3', '5', '8']",M,46-50,16,C,0,1
"['1', '5', '8']",M,36-45,7,C,4+,0
"['1', '2', '5', '8']",M,36-45,7,C,4+,0
"['1', '2', '5', '8']",M,26-35,14,C,1,1
"['1', '5', '8']",M,36-45,7,C,0,1
['1'],F,36-45,20,B,1,0
"['1', '8']",F,26-35,4,B,2,0
