,support,itemsets
0,0.19181802749957563,frozenset({'Product = P00000142'})
1,0.06297742318791377,frozenset({'Product = P00000242'})
2,0.04040061110168053,frozenset({'Product = P00000342'})
3,0.08691223900865727,frozenset({'Product = P00000642'})
4,0.04040061110168053,frozenset({'Product = P00000742'})
5,0.08385673060600916,frozenset({'Product = P00001042'})
6,0.09709726701748429,frozenset({'Product = P00001142'})
7,0.059242912918010524,frozenset({'Product = P00001642'})
8,0.0762179595993889,frozenset({'Product = P00001742'})
9,0.0354778475640808,frozenset({'Product = P00001942'})
10,0.12357833984043456,frozenset({'Product = P00002142'})
11,0.03310134102868783,frozenset({'Product = P00002242'})
12,0.05516890171447972,frozenset({'Product = P00002442'})
13,0.09030724834493295,frozenset({'Product = P00002542'})
14,0.03717535223221864,frozenset({'Product = P00002942'})
15,0.1408928874554405,frozenset({'Product = P00003242'})
16,0.16143269393990833,frozenset({'Product = P00003442'})
17,0.08538448480733322,frozenset({'Product = P00003642'})
18,0.12391784077406214,frozenset({'Product = P00003942'})
19,0.04668137837379053,frozenset({'Product = P00004542'})
20,0.10032252588694619,frozenset({'Product = P00004742'})
21,0.03513834663045323,frozenset({'Product = P00004842'})
22,0.16211169580716348,frozenset({'Product = P00005042'})
23,0.038024104566287555,frozenset({'Product = P00005142'})
24,0.045662875572907824,frozenset({'Product = P00005742'})
25,0.030555084026481074,frozenset({'Product = P00005942'})
26,0.049397385842811066,frozenset({'Product = P00006142'})
27,0.03174333729417756,frozenset({'Product = P00006842'})
28,0.08402648107282296,frozenset({'Product = P00006942'})
29,0.059242912918010524,frozenset({'Product = P00009342'})
30,0.05907316245119674,frozenset({'Product = P00010242'})
31,0.034119843829570534,frozenset({'Product = P00010342'})
32,0.22593787132914617,frozenset({'Product = P00010742'})
33,0.11237480903072483,frozenset({'Product = P00010842'})
34,0.051434391444576476,frozenset({'Product = P00010942'})
35,0.031064335426922423,frozenset({'Product = P00012142'})
36,0.05941266338482431,frozenset({'Product = P00013742'})
37,0.03955185876761161,frozenset({'Product = P00013942'})
38,0.03276184009506026,frozenset({'Product = P00014042'})
39,0.11288406043116618,frozenset({'Product = P00014542'})
40,0.05313189611271431,frozenset({'Product = P00014642'})
41,0.06908843999320999,frozenset({'Product = P00014842'})
42,0.049397385842811066,frozenset({'Product = P00015542'})
43,0.06959769139365134,frozenset({'Product = P00015642'})
44,0.04023086063486674,frozenset({'Product = P00015742'})
45,0.04498387370565269,frozenset({'Product = P00015842'})
46,0.0344593447631981,frozenset({'Product = P00015942'})
47,0.07502970633169241,frozenset({'Product = P00016042'})
48,0.03225258869461891,frozenset({'Product = P00016342'})
49,0.043965370904769985,frozenset({'Product = P00016742'})
50,0.052452894245459174,frozenset({'Product = P00016842'})
51,0.04107961296893566,frozenset({'Product = P00017542'})
52,0.050246138176879986,frozenset({'Product = P00018042'})
53,0.05262264471227296,frozenset({'Product = P00019142'})
54,0.05550840264810728,frozenset({'Product = P00019342'})
55,0.05941266338482431,frozenset({'Product = P00020342'})
56,0.03123408589373621,frozenset({'Product = P00021142'})
57,0.1293498557121032,frozenset({'Product = P00021742'})
58,0.033780342895942964,frozenset({'Product = P00021842'})
59,0.031064335426922423,frozenset({'Product = P00022442'})
60,0.06195892038703107,frozenset({'Product = P00022542'})
61,0.030555084026481074,frozenset({'Product = P00022642'})
62,0.08759124087591241,frozenset({'Product = P00022942'})
63,0.030555084026481074,frozenset({'Product = P00023042'})
64,0.06569343065693431,frozenset({'Product = P00024042'})
65,0.043965370904769985,frozenset({'Product = P00024142'})
66,0.031913087760991346,frozenset({'Product = P00024642'})
67,0.06925819046002377,frozenset({'Product = P00024742'})
68,0.269224240366661,frozenset({'Product = P00025442'})
69,0.07282295026311322,frozenset({'Product = P00025942'})
70,0.06348667458835512,frozenset({'Product = P00026042'})
71,0.03496859616363945,frozenset({'Product = P00026642'})
72,0.06297742318791377,frozenset({'Product = P00028042'})
73,0.06976744186046512,frozenset({'Product = P00028442'})
74,0.08283822780512647,frozenset({'Product = P00028542'})
75,0.19894754710575455,frozenset({'Product = P00028842'})
76,0.06094041758614836,frozenset({'Product = P00029242'})
77,0.03598709896452215,frozenset({'Product = P00029542'})
78,0.031573586827363775,frozenset({'Product = P00029842'})
79,0.09947377355287727,frozenset({'Product = P00030842'})
80,0.060431166185707014,frozenset({'Product = P00030942'})
81,0.1982685452384994,frozenset({'Product = P00031042'})
82,0.03225258869461891,frozenset({'Product = P00031842'})
83,0.09234425394669836,frozenset({'Product = P00032042'})
84,0.038872856900356474,frozenset({'Product = P00032442'})
85,0.06433542692242404,frozenset({'Product = P00032842'})
86,0.06416567645561025,frozenset({'Product = P00033042'})
87,0.045662875572907824,frozenset({'Product = P00033342'})
88,0.06925819046002377,frozenset({'Product = P00033542'})
89,0.04023086063486674,frozenset({'Product = P00033642'})
90,0.03853335596672891,frozenset({'Product = P00033942'})
91,0.09726701748429809,frozenset({'Product = P00034042'})
92,0.04634187744016296,frozenset({'Product = P00034142'})
93,0.06705143439144458,frozenset({'Product = P00034442'})
94,0.20166355457477508,frozenset({'Product = P00034742'})
95,0.1137328127652351,frozenset({'Product = P00034842'})
96,0.10032252588694619,frozenset({'Product = P00035542'})
97,0.10711254455949754,frozenset({'Product = P00035842'})
98,0.07265319979629944,frozenset({'Product = P00035942'})
99,0.03564759803089459,frozenset({'Product = P00036142'})
100,0.037514853165846206,frozenset({'Product = P00036342'})
101,0.03089458496010864,frozenset({'Product = P00036742'})
102,0.14683415379392292,frozenset({'Product = P00036842'})
103,0.0364963503649635,frozenset({'Product = P00037042'})
104,0.1262943473094551,frozenset({'Product = P00037142'})
105,0.04192836530300458,frozenset({'Product = P00039742'})
106,0.03140383636054999,frozenset({'Product = P00041842'})
107,0.03700560176540486,frozenset({'Product = P00041942'})
108,0.06518417925649296,frozenset({'Product = P00042142'})
109,0.046851128840604314,frozenset({'Product = P00042242'})
110,0.08436598200645051,frozenset({'Product = P00042742'})
111,0.06094041758614836,frozenset({'Product = P00042842'})
112,0.058394160583941604,frozenset({'Product = P00042942'})
113,0.07519945679850619,frozenset({'Product = P00044142'})
114,0.18655576302834834,frozenset({'Product = P00044442'})
115,0.05092514004413512,frozenset({'Product = P00045342'})
116,0.03395009336275675,frozenset({'Product = P00045542'})
